"","Zip","Median","Pop","city","state","latitude","longitude"
"95","01253",62955,"607","Otis","MA",42.198403,-73.10205
"96","01254",79145,"1070","Richmond","MA",42.374711,-73.36336
"97","01255",62955,"824","Sandisfield","MA",42.088973,-73.12444
"98","01256",54167,"701","Savoy","MA",42.592506,-73.01123
"99","01257",47145,"2223","Sheffield","MA",42.102694,-73.36591
"100","01258",55764,"401","South Egremont","MA",42.103122,-73.45734
"101","01259",57917,"640","Southfield","MA",42.0645,-73.24674
"102","01260",53297.2,"225","South Lee","MA",42.286586,-73.313274
"103","01262",55096,"1357","Stockbridge","MA",42.283216,-73.31423
"104","01264",63250,"160","Tyringham","MA",42.224905,-73.20394
"105","01266",64328.3804,"1681","West Stockbridge","MA",42.328535,-73.36407
"106","01267",69925.2006,"8683","Williamstown","MA",42.689962,-73.22355
"107","01270",70662,"761","Windsor","MA",42.443726,-73.116127
"108","01301",47832.6781,"18444","Greenfield","MA",42.605524,-72.60098
"109","01330",70326,"1512","Ashfield","MA",42.521131,-72.81116
"110","01331",49110.1591,"12856","Athol","MA",42.579931,-72.20836
"111","01337",57550,"2649","Bernardston","MA",42.678023,-72.55569
"112","01338",56596,"184","Buckland","MA",42.569498,-72.802
"113","01339",6531.1784,"181","Charlemont","MA",42.626858,-72.87939
"114","01341",70326,"1743","Conway","MA",42.508313,-72.70403
"115","01342",61912,"1140","Deerfield","MA",42.542322,-72.6091
"116","01343",54167,"73","Drury","MA",42.642666,-72.986231
"117","01344",54836,"1216","Erving","MA",42.607051,-72.41396
"118","01347",50189,"214","Lake Pleasant","MA",42.556558,-72.518104
"119","01349",51400.9376,"1116","Turners Falls","MA",42.5737,-72.50525
"120","01351",50189,"2301","Montague","MA",42.534976,-72.52522
"121","01354",57550,"1367","Northfield","MA",42.522178,-72.624164
"122","01355",67831,"820","New Salem","MA",42.485899,-72.33345
"123","01360",70606,"2952","Northfield","MA",42.682285,-72.45649
"124","01364",44676.011,"7633","Orange","MA",42.599614,-72.29263
"125","01366",68373.6866,"1186","Petersham","MA",42.474718,-72.21226
"126","01368",61950.3616,"1256","Royalston","MA",42.671012,-72.16999
